"filename", "language", "JSON with Comments", "JavaScript", "JSON", "TypeScript", "Markdown", "TypeScript JSX", "Ruby", "C++", "Swift", "Objective-C++", "XML", "Objective-C", "Environment Variables", "comment", "blank", "total"
"/Users/zq/coding/ReactNative/NuitComic/ios/NuitComic/AppDelegate.mm", "Objective-C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 7, 14, 63
"/Users/zq/coding/ReactNative/NuitComic/ios/NuitComic/Images.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"/Users/zq/coding/ReactNative/NuitComic/ios/NuitComic/Images.xcassets/Contents.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/zq/coding/ReactNative/NuitComic/ios/NuitComic/Images.xcassets/SplashScreenBackground.colorset/Contents.json", "JSON", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"/Users/zq/coding/ReactNative/NuitComic/ios/NuitComic/Images.xcassets/SplashScreenLogo.imageset/Contents.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23
"/Users/zq/coding/ReactNative/NuitComic/ios/NuitComic/NuitComic-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 4
"/Users/zq/coding/ReactNative/NuitComic/ios/NuitComic/SplashScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 42
"/Users/zq/coding/ReactNative/NuitComic/ios/NuitComic/main.m", "Objective-C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 4, 11
"/Users/zq/coding/ReactNative/NuitComic/ios/NuitComic/noop-file.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 5
"/Users/zq/coding/ReactNative/NuitComic/ios/Podfile", "Ruby", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 3, 12, 67
"/Users/zq/coding/ReactNative/NuitComic/ios/Podfile.properties.json", "JSON", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/zq/coding/ReactNative/NuitComic/package-lock.json", "JSON", 0, 0, 17669, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17670
"/Users/zq/coding/ReactNative/NuitComic/package.json", "JSON", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 65
"/Users/zq/coding/ReactNative/NuitComic/tsconfig.json", "JSON with Comments", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"Total", "-", 53, 4, 17801, 362, 1, 1173, 52, 5, 0, 42, 42, 7, 1, 57, 250, 19850
